Category	Gene symbol
Secreted Factors	IL17F
Secreted Factors	IL18
Secreted Factors	IL19
Secreted Factors	IL1A
Secreted Factors	IL1B
Secreted Factors	IL1F10
Secreted Factors	IL1F5
Secreted Factors	IL1F6
Secreted Factors	IL1F7
Secreted Factors	IL1F8
Secreted Factors	IL1F9
Secreted Factors	IL1RN
Secreted Factors	IL2
Secreted Factors	IL20
Secreted Factors	IL22
Secreted Factors	IL23A
Secreted Factors	IL24
Secreted Factors	IL25
Secreted Factors	IL26
Secreted Factors	IL3
Secreted Factors	IL34
Secreted Factors	IL4
Secreted Factors	IL5
Secreted Factors	IL6
Secreted Factors	IL7
Secreted Factors	IL8
Secreted Factors	IL9
Secreted Factors	INHA
Secreted Factors	INHBA
Secreted Factors	INHBB
Secreted Factors	INHBC
Secreted Factors	INHBE
Secreted Factors	INS
Secreted Factors	INS-IGF2
Secreted Factors	INSL3
Secreted Factors	INSL5
Secreted Factors	INSL6
Secreted Factors	ISM1
Secreted Factors	ISM2
Secreted Factors	KGFLP1
Secreted Factors	KGFLP2
Secreted Factors	KITLG
Secreted Factors	LEFTY1
Secreted Factors	LEFTY2
Secreted Factors	LEP
Secreted Factors	LIF
Secreted Factors	LTA
Secreted Factors	LTB
Secreted Factors	MDK
Secreted Factors	MEGF10
Secreted Factors	MEGF11
Secreted Factors	MEGF6
Secreted Factors	MEGF8
Secreted Factors	MEGF9
Secreted Factors	MST1
Secreted Factors	MST1P2
Secreted Factors	MST1P9
Secreted Factors	MSTN
Secreted Factors	NGF
Secreted Factors	NODAL
Secreted Factors	NRG1
Secreted Factors	NRG2
Secreted Factors	NRG3
Secreted Factors	NRG4
Secreted Factors	NRTN
Secreted Factors	NTF3
Secreted Factors	NTF4
Secreted Factors	NTF6B
Secreted Factors	OSM
Secreted Factors	PDGFA
Secreted Factors	PDGFB
Secreted Factors	PDGFC
Secreted Factors	PDGFD
Secreted Factors	PF4
Secreted Factors	PF4V1
Secreted Factors	PGF
Secreted Factors	PIK3IP1
Secreted Factors	PPBP
Secreted Factors	PPBPL1
Secreted Factors	PRL
Secreted Factors	PSPN
Secreted Factors	PTN
Secreted Factors	RP11-45B20.2
Secreted Factors	RPTN
Secreted Factors	S100A1
Secreted Factors	S100A10
Secreted Factors	S100A11
Secreted Factors	S100A12
Secreted Factors	S100A13
Secreted Factors	S100A14
Secreted Factors	S100A16
Secreted Factors	S100A2
Secreted Factors	S100A3
Secreted Factors	S100A4
Secreted Factors	S100A5
Secreted Factors	S100A6
Secreted Factors	S100A7
Secreted Factors	S100A7A
Secreted Factors	S100A8
Secreted Factors	S100A9
Secreted Factors	S100B
Secreted Factors	S100G
Secreted Factors	S100P
Secreted Factors	S100Z
Secreted Factors	SCUBE1
Secreted Factors	SCUBE2
Secreted Factors	SCUBE3
Secreted Factors	SFRP1
Secreted Factors	SFRP2
Secreted Factors	SFRP4
Secreted Factors	SFRP5
Secreted Factors	SHH
Secreted Factors	TCHH
Secreted Factors	TCHHL1
Secreted Factors	TDGF1
Secreted Factors	TGFA
Secreted Factors	TGFB1
Secreted Factors	TGFB2
Secreted Factors	TGFB3
Secreted Factors	THPO
Secreted Factors	TNF
Secreted Factors	TNFSF10
Secreted Factors	TNFSF11
Secreted Factors	TNFSF12
Secreted Factors	TNFSF12-TNFSF13
Secreted Factors	TNFSF13
Secreted Factors	TNFSF13B
Secreted Factors	TNFSF14
Secreted Factors	TNFSF15
Secreted Factors	TNFSF18
Secreted Factors	TNFSF4
Secreted Factors	TNFSF8
Secreted Factors	TNFSF9
Secreted Factors	TPO
Secreted Factors	UNQ5830
Secreted Factors	VEGFA
Secreted Factors	VEGFB
Secreted Factors	VEGFC
Secreted Factors	VWC2
Secreted Factors	VWC2L
Secreted Factors	WFIKKN1
Secreted Factors	WFIKKN2
Secreted Factors	WIF1
Secreted Factors	WNT1
Secreted Factors	WNT10A
Secreted Factors	WNT10B
Secreted Factors	WNT11
Secreted Factors	WNT16
Secreted Factors	WNT2
Secreted Factors	WNT2B
Secreted Factors	WNT3
Secreted Factors	WNT3A
Secreted Factors	WNT4
Secreted Factors	WNT5A
Secreted Factors	WNT5B
Secreted Factors	WNT6
Secreted Factors	WNT7A
Secreted Factors	WNT7B
Secreted Factors	WNT8A
Secreted Factors	WNT8B
Secreted Factors	WNT9A
Secreted Factors	WNT9B
Secreted Factors	XCL1
Secreted Factors	XCL2
Secreted Factors	ZFP91
Major Contaminants	PLEC
Major Contaminants	MYH*
Major Contaminants	SPT*
Major Contaminants	ACT*
Major Contaminants	TUB*
Major Contaminants	DES
Major Contaminants	VIM
Major Contaminants	H2A*
Major Contaminants	H2B*
Major Contaminants	H1*
Major Contaminants	H3*
Major Contaminants	H4*
Major Contaminants	GAPDH
Major Contaminants	ALB
Major Contaminants	HBA
Major Contaminants	HBB
Major Contaminants	LMNA
Major Contaminants	LMNB
Major Contaminants	ENO*

